Ranking,Nombre,Cantidad Máxima de tokens,Capitalización Total de Mercado,Precio,Volumen 24h
#51,First Digital USD,∞,"$1,796,569,435",$0.997917,"$1,495,761,048"
#52,Render,"531,039,932","$1,755,904,838",$4.70,"$71,225,773"
#53,Aave,"16,000,000","$1,648,407,037",$112.11,"$157,325,050"
#54,ORDI,"16,000,000","$1,615,246,587",$76.89,"$381,456,600"
#55,THORChain,"500,000,000","$1,575,915,880",$5.24,"$246,558,537"
#56,Bittensor,"21,000,000","$1,569,166,449",$263.24,"$3,903,046"
#57,Sei,"21,000,000","$1,540,122,219",$0.672942,"$346,668,127"
#58,Maker,"1,005,577","$1,521,256,162","$1,653.52","$116,192,818"
#59,Mina Protocol,∞,"$1,507,012,488",$1.47,"$69,349,805"
#60,Rocket Pool ETH,∞,"$1,432,803,489","$2,545.04","$13,123,075"
#61,Fantom,"3,175,000,000","$1,397,932,399",$0.498704,"$111,702,988"
#62,Flow,"1,479,506,395","$1,384,843,176",$0.936349,"$39,407,962"
#64,Theta Network,"1,000,000,000","$1,289,025,097",$1.29,"$21,007,172"
#63,Synthetix Network,"328,193,104","$1,292,614,001",$3.94,"$39,556,187"
#65,The Sandbox,"3,000,000,000","$1,251,728,911",$0.591658,"$155,004,805"
#66,Axie Infinity,"270,000,000","$1,207,234,096",$8.96,"$57,040,615"
#67,BitTorrent,"990,000,000,000,000","$1,136,426,269",$0.00000117,"$39,080,356"
#68,Tokenize Xchange,"100,000,000","$1,059,290,043",$13.24,"$27,436,471"
#69,Helium,"223,000,000","$1,023,238,748",$7.11,"$7,637,635"
#70,BUSD,∞,"$1,010,791,429",$1.00,"$3,346,043,490"
#71,KuCoin,∞,"$1,005,411,682",$10.41,"$148,236"
#73,Decentraland,"2,193,179,327","$984,240,435",$0.534276,"$83,559,203"
#75,Kava,"2,193,179,327","$975,160,703",$0.901556,"$21,477,393"
#72,EOS,"2,193,179,327","$986,478,196",$0.870644,"$85,102,046"
#74,NEO,"2,193,179,327","$979,358,575",$13.91,"$61,007,215"
#77,Tezos,∞,"$971,603,396",$1.09,"$45,668,543"
#76,Osmosis,"1,000,000,000","$972,484,240",$1.53,"$19,330,978"
#78,GALA,"50,000,000,000","$959,959,710",$0.03131352,"$171,289,850"
#79,IOTA,"4,600,000,000","$941,824,556",$0.306013,"$22,645,617"
#80,WEMIX,∞,"$940,250,613",$2.67,"$6,892,490"
#81,Sui,"10,000,000,000","$912,534,184",$0.828694,"$115,328,773"
#82,PancakeSwap,"450,000,000","$882,497,148",$3.51,"$114,745,251"
#83,WhiteBIT Coin,"400,000,000","$838,144,111",$5.82,"$8,139,858"
#85,Cheelee,"1,000,000,000","$833,235,420",$15.41,"$6,451,913"
#84,Bitget Token,"2,000,000,000","$834,695,712",$0.596211,"$17,633,996"
#87,Beam,"62,615,056,183","$833,246,736",$0.01734643,"$15,873,041"
#85,Terra Luna Classic,∞,"$832,501,307",$0.00014246,"$44,543,237"
#88,Bonk,"100,000,000,000,000","$828,943,462",$0.00001363,"$79,701,944"
#89,Klaytn,"100,000,000,000,000","$822,122,633",$0.237792,"$57,011,738"
#90,dYdX,"1,000,000,000","$822,388,058",$3.05,"$89,611,418"
#91,XDC Network,"1,000,000,000","$810,639,764",$0.058279,"$3,165,648"
#92,WOO Network,"2,230,434,666","$765,483,815",$0.424870,"$34,509,973"
#94,Fetch.ai,"1,152,997,575","$750,772,564",$0.720141,"$72,851,177"
#93,Astar,∞,"$765,829,964",$0.141163,"$31,676,967"
#96,eCash,"21,000,000,000,000","$747,164,555",$0.00003811,"$11,938,848"
#95,Marinade staked SOL,"5,983,132","$748,881,162",$125.26,"$5,835,346"
#97,USDD,∞,"$712,925,191",$0.982627,"$11,613,019"
#98,Frax Ether,∞,"$706,306,694","$2,315.53","$2,092,163"
#100,Gate,∞,"$682,995,608",$5.01,"$1,117,307"
#99,Oasis Network,"10,000,000,000","$684,266,605",$0.137791,"$34,006,413"
