Ranking,Simbolo,Nombre,Cantidad Máxima de tokens,Capitalización Total de Mercado,Precio,Volumen 24h
55,"['10,000,000,000', 'SEI']",Sei,"['10,000,000,000', 'SEI']","$1,656,812,032",$0.7203,"$1,075,927,943"
56,"['1,110,171,053', 'MINA']",Mina,"['1,110,171,053', 'MINA']","$1,575,851,565",$1.53,"$191,026,245"
57,"['977,631', 'MKR']",Maker,"['977,631', 'MKR']","$1,523,410,028","$1,655.58","$73,621,119"
58,"['1,479,506,396', 'FLOW']",Flow,"['1,479,506,396', 'FLOW']","$1,428,717,261",$0.9657,"$58,394,206"
59,"['3,175,000,000', 'FTM']",Fantom,"['3,175,000,000', 'FTM']","$1,425,199,009",$0.5082,"$96,323,142"
60,"['1,000,000,000', 'THETA']",Theta Network,"['1,000,000,000', 'THETA']","$1,352,361,776",$1.35,"$26,947,251"
61,"['3,000,000,000', 'SAND']",The Sandbox,"['3,000,000,000', 'SAND']","$1,289,928,549",$0.6088,"$210,880,708"
62,"['328,193,104', 'SNX']",Synthetix,"['328,193,104', 'SNX']","$1,251,739,379",$4.12,"$40,545,937"
63,"['270,000,000', 'AXS']",Axie Infinity,"['270,000,000', 'AXS']","$1,259,989,444",$9.55,"$66,135,164"
64,"['990,000,000,000,000', 'BTT']",BitTorrent (New),"['990,000,000,000,000', 'BTT']","$1,156,170,733",$0.000001194,"$33,157,741"
65,"['159,533,233', 'HNT']",Helium,"['159,533,233', 'HNT']","$1,127,984,028",$7.07,"$9,034,015"
66,"['328,895,104', 'FTT']",FTX Token,"['328,895,104', 'FTT']","$1,071,556,394",$3.26,"$39,184,228"
67,"['986,627,910', 'XTZ']",Tezos,"['986,627,910', 'XTZ']","$1,060,481,678",$1.10,"$48,935,473"
68,"['949,394,728', 'WEMIX']",WEMIX,"['949,394,728', 'WEMIX']","$1,035,168,298",$2.95,"$34,096,875"
69,"['2,193,179,327', 'MANA']",Decentraland,"['2,193,179,327', 'MANA']","$1,033,434,200",$0.5458,"$92,611,565"
70,"['144,141,044', 'KCS']",KuCoin Token,"['144,141,044', 'KCS']","$1,016,436,827",$10.52,"$1,551,359"
71,"['1,010,937,967', 'BUSD']",BUSD,"['1,010,937,967', 'BUSD']","$1,012,589,971",$1.00,"$43,107,276"
72,"['100,000,000', 'NEO']",Neo,"['100,000,000', 'NEO']","$999,714,930",$14.17,"$90,746,629"
73,"['1,082,862,470', 'KAVA']",Kava,"['1,082,862,470', 'KAVA']","$998,057,731",$0.9217,"$30,755,372"
74,"['1,113,035,027', 'EOS']",EOS,"['1,113,035,027', 'EOS']","$992,811,867",$0.892,"$107,574,734"
75,"['4,600,000,000', 'IOTA']",IOTA,"['4,600,000,000', 'IOTA']","$958,643,384",$0.3116,"$43,329,527"
76,"['10,000,000,000', 'ROSE']",Oasis Network,"['10,000,000,000', 'ROSE']","$944,643,704",$0.1407,"$55,557,078"
77,"['10,000,000,000', 'SUI']",Sui,"['10,000,000,000', 'SUI']","$926,449,349",$0.8415,"$169,136,980"
78,"['93,915,674,902,776', 'BONK']",Bonk,"['93,915,674,902,776', 'BONK']","$929,868,217",$0.00001528,"$144,463,987"
79,"['5,873,773,654', 'KLAY']",Klaytn,"['5,873,773,654', 'KLAY']","$919,022,371",$0.2642,"$44,714,600"
80,"['394,155,552', 'CAKE']",PancakeSwap,"['394,155,552', 'CAKE']","$909,100,871",$3.59,"$138,445,583"
81,"['29,190,597,617', 'GALA']",Gala,"['29,190,597,617', 'GALA']","$883,885,596",$0.03254,"$73,480,067"
82,"['62,955,102,600', 'BEAM']",Beam,"['62,955,102,600', 'BEAM']","$871,737,207",$0.01815,"$22,485,703"
83,"['6,814,772,788,343', 'LUNC']",Terra Classic,"['6,814,772,788,343', 'LUNC']","$854,934,028",$0.0001462,"$44,141,243"
84,"['2,000,000,000', 'BGB']",Bitget Token,"['2,000,000,000', 'BGB']","$834,169,878",$0.5958,"$18,194,454"
85,"['37,705,012,699', 'XDC']",XDC Network,"['37,705,012,699', 'XDC']","$817,571,765",$0.05887,"$3,368,374"
86,"['2,230,434,667', 'WOO']",WOO Network,"['2,230,434,667', 'WOO']","$802,687,699",$0.4453,"$32,605,712"
87,"['8,335,121,322', 'ASTR']",Astar,"['8,335,121,322', 'ASTR']","$780,189,827",$0.1434,"$39,587,430"
88,"['587,378,721', 'OSMO']",Osmosis,"['587,378,721', 'OSMO']","$772,490,235",$1.57,"$22,975,568"
89,"['19,595,610,923,092', 'XEC']",eCash,"['19,595,610,923,092', 'XEC']","$759,298,871",$0.00003875,"$41,171,576"
90,"['725,332,034', 'USDD']",USDD,"['725,332,034', 'USDD']","$714,485,639",$0.9852,"$18,833,485"
91,"['8,888,888,888', 'CHZ']",Chiliz,"['8,888,888,888', 'CHZ']","$699,749,810",$0.09035,"$48,821,781"
92,"['4,957,123,076', 'CFX']",Conflux,"['4,957,123,076', 'CFX']","$695,300,020",$0.1949,"$31,898,186"
93,"['99,681,496', 'FXS']",Frax Share,"['99,681,496', 'FXS']","$686,746,945",$9.06,"$20,795,325"
94,"['65,454,185', 'AR']",Arweave,"['65,454,185', 'AR']","$672,867,645",$10.25,"$31,835,363"
95,"['2,058,743,346', 'CRV']",Curve DAO Token,"['2,058,743,346', 'CRV']","$672,011,483",$0.6364,"$65,361,014"
96,"['1,000,000,000', 'APE']",ApeCoin,"['1,000,000,000', 'APE']","$635,864,470",$1.72,"$46,445,894"
97,"['1,125,874,630', 'AXL']",Axelar,"['1,125,874,630', 'AXL']","$627,983,208",$1.20,"$4,262,664"
98,"['19,991,437', 'RPL']",Rocket Pool,"['19,991,437', 'RPL']","$626,227,569",$31.35,"$6,255,054"
99,"['1,152,997,575', 'FET']",Fetch.ai,"['1,152,997,575', 'FET']","$604,323,990",$0.7289,"$69,793,319"
100,"['420,689,899,999,995', 'PEPE']",Pepe,"['420,689,899,999,995', 'PEPE']","$600,563,397",$0.000001428,"$69,997,928"
